category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop,6i09oKaV93wnEE5ighvD1E,66,0.539,0.531,5,-7.928,0.189,0.337,0,0.0819,0.387,177.953
Pop,2Za1AlJNvksouPPWbXpR2X,87,0.712,0.51,8,-8.162,0.0633,0.446,2.50E-05,0.112,0.268,122.964
Pop,1EZtB75i7g87yZzJucQKOq,54,0.832,0.593,5,-6.014,0.0916,0.148,0,0.276,0.731,111.075
Pop,3HEZ6dNm68TrRF7JbiTf9B,32,0.495,0.379,1,-14.265,0.0422,0.842,2.20E-05,0.0997,0.295,133.115
Pop,2vMh4fZ2LatXDlQNzuFHlZ,53,0.704,0.568,0,-4.819,0.413,0.424,0,0.13,0.44,86.895
Pop,7LP4Es66zdY7CyjepqmvAg,69,0.663,0.693,11,-4.505,0.0311,0.0149,0,0.0778,0.696,66.002
Pop,2TUdxbIF3rpY887d8m0ZGV,64,0.622,0.253,2,-14.36,0.0331,0.435,0.471,0.0941,0.328,92.584
Pop,5Muvh0ooAJkSgBylFyI3su,53,0.405,0.944,4,-8.473,0.249,0.527,0,0.214,0.72,192.147
Pop,3WimH2U1PohKGB3D4yXq9t,2,0.445,0.57,9,-5.96,0.0321,0.529,0,0.373,0.686,109.246
Pop,1Shz7ObjzJlIEn24sXu5JK,39,0.721,0.589,7,-7.671,0.0284,0.0392,0.73,0.0949,0.779,118.772
Pop,2bjUaPcNAcVekh2SJ3SIR8,24,0.659,0.86,4,-3.164,0.0411,0.00548,0.0049,0.0398,0.275,114.975
Pop,1B75hgRqe7A4fwee3g3Wmu,72,0.867,0.517,11,-13.222,0.0875,0.00456,0.000339,0.0864,0.863,133.148
Pop,3F42FHouOY59SnSsyD2TAX,64,0.265,0.827,7,-4.661,0.104,0.0434,0,0.117,0.118,82.032
Pop,42jG6qZg93rsTuuO4eodx6,34,0.626,0.585,0,-6.44,0.042,0.137,0,0.104,0.188,124.978
Pop,146cJpX8UQGQX8nUAPUkO7,5,0.439,0.835,2,-7.226,0.042,0.249,0.0889,0.107,0.319,112.584
Pop,3Mjer7nERC4u3tkkSopwLp,40,0.564,0.564,9,-4.839,0.0427,0.1,0,0.085,0.294,132.807
