,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3252,191w0Z04ktB8QjlRLSqmNq,Baby (Radio Edit),The Phenomenal Handclap Band,47,0.679,0.42200000000000004,8,-10.088,0.032,0.0965,0.0369,0.059000000000000004,0.503,90.022,4,Pop
3253,5aJiAeG0x2dxYeE7ac2xhl,So Tied Up,Cold War Kids,61,0.594,0.8959999999999999,0,-4.114,0.0409,0.0282,1.4999999999999999e-05,0.185,0.828,105.01,4,Pop
3254,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,92,0.767,0.6709999999999999,9,-6.416,0.142,0.21,1.1e-05,0.129,0.474,128.072,4,Pop
3256,1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,76,0.741,0.742,4,-4.774,0.0395,0.0169,0.0,0.293,0.507,110.01799999999999,4,Pop
3257,6Gw2dHX6FsQcIuiWxe0vWk,Boomerang,Brooks,23,0.652,0.951,9,-3.083,0.0556,0.0074,0.133,0.0617,0.37,128.061,4,Pop
3258,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,89,0.643,0.7829999999999999,10,-6.457999999999999,0.0856,0.047,0.0,0.083,0.5660000000000001,154.084,4,Pop
3259,0Of5so0SmxQprfv96NkXhb,Call Me,St. Paul & The Broken Bones,58,0.573,0.7859999999999999,7,-4.354,0.0353,0.0625,0.21100000000000002,0.11699999999999999,0.628,110.289,4,Pop
3260,6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,76,0.72,0.7909999999999999,1,-4.689,0.124,0.0384,0.0,0.157,0.767,102.071,4,Pop
3261,6MmcXmpXBeqY640DLNHPKW,Good Times - feat. Jodie Connor,Roll Deep,57,0.65,0.85,8,-3.84,0.26,0.023,0.0,0.157,0.562,124.98299999999999,4,Pop
3262,1DfqZ0CTKNg5Pb7mxwTYH8,No I Love Yous,Era Istrefi,56,0.8220000000000001,0.7979999999999999,0,-4.477,0.0554,0.0851,8.4e-05,0.579,0.9229999999999999,117.98299999999999,3,Pop
