category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,36AWdhZIGLUTkWpJDhe7va,65,0.6459999999999999,0.665,6,-7.877999999999999,0.0268,0.326,2e-05,0.23800000000000002,0.698,143.966,4
Romance,1uGwCbelG6h8hdcCPFSN1Z,51,0.527,0.15,0,-10.357000000000001,0.0302,0.8759999999999999,0.0,0.125,0.285,93.04799999999999,4
Romance,48TPQWN8wy8vgJ0rKWM0z3,54,0.675,0.6779999999999999,5,-7.151,0.0625,0.20199999999999999,1e-06,0.14400000000000002,0.47100000000000003,119.986,4
Romance,4rHZZAmHpZrA3iH5zx8frV,76,0.574,0.512,5,-6.664,0.0503,0.23399999999999999,0.0,0.0946,0.51,76.899,4
Romance,3xxmjMvJsSR3L7mUOxP9QA,64,0.569,0.6920000000000001,9,-4.683,0.0323,0.0167,3.8e-05,0.126,0.75,141.632,4
Romance,2Lq2CcXfVuwoq5foLjpIKH,42,0.395,0.413,0,-7.485,0.0305,0.64,4e-06,0.122,0.22,141.145,4
Romance,0CsM8VGDi38kusMv3pxyj1,70,0.728,0.57,0,-8.886000000000001,0.027999999999999997,0.389,0.0767,0.059000000000000004,0.387,97.363,4
Romance,4qqf1avpzRUnVowNQd1jFw,44,0.765,0.478,8,-9.214,0.0395,0.902,0.00548,0.0632,0.847,131.061,4
Romance,5RgFlk1fcClZd0Y4SGYhqH,71,0.292,0.324,3,-11.995999999999999,0.0346,0.797,0.00047300000000000006,0.12,0.368,176.63099999999997,3
Romance,3I4nZ14GRL7eXwFDjCEEVr,19,0.563,0.536,3,-7.149,0.0301,0.47200000000000003,0.0,0.271,0.6579999999999999,133.852,4
Romance,35Z6ug4C2bujR8ejGVSAFD,42,0.594,0.684,6,-5.507999999999999,0.121,0.506,0.0,0.14400000000000002,0.47700000000000004,82.915,4
Romance,7o3vUVAbaN1oPmjtQ7cquv,31,0.396,0.41600000000000004,7,-8.132,0.0332,0.531,1.2e-05,0.0694,0.551,158.825,4
Romance,2qWF8dCJgjJY6jS8ypHXEo,10,0.631,0.888,7,-7.236000000000001,0.0293,0.0355,0.0,0.0747,0.805,97.539,4
Romance,5F55SiWwEEytk6vsQXHxQW,61,0.465,0.26899999999999996,0,-12.14,0.0311,0.7909999999999999,8e-06,0.139,0.191,131.391,3
Romance,4tRczX2sYe9qVSIIEAXyEf,49,0.631,0.63,4,-5.577000000000001,0.0492,0.7340000000000001,0.0,0.23399999999999999,0.507,121.833,4
Romance,0OThxOyjCGhSGZClcuneEH,30,0.382,0.35600000000000004,10,-11.06,0.0305,0.914,0.883,0.0961,0.375,105.779,4
Romance,7eiTrJ0Q60aF5XeUqgUoDB,30,0.155,0.0056,10,-31.747,0.0392,0.985,0.941,0.11599999999999999,0.0494,84.774,4
Romance,5Xy9Ra4AVOLsMYs4adrico,46,0.491,0.0915,4,-18.15,0.0358,0.9690000000000001,2e-05,0.107,0.24600000000000002,114.686,4
Romance,0bZ52QzCCKfrfOqs7za6lI,73,0.415,0.11,1,-14.901,0.0388,0.951,0.00236,0.0962,0.22399999999999998,81.876,4
Romance,3tchJ8gDgMdaSxpaLxlr1F,63,0.519,0.163,0,-18.131,0.0489,0.9259999999999999,0.7509999999999999,0.115,0.35200000000000004,142.116,4
Romance,4Xv1crOLCZIuWDRW4d7ePJ,38,0.57,0.0866,5,-16.139,0.17600000000000002,0.6579999999999999,4e-06,0.154,0.207,117.147,4
Romance,7Gmq99GlNMvkoX1SbHKqMd,2,0.754,0.446,3,-8.512,0.0351,0.28600000000000003,0.0135,0.332,0.527,129.92700000000002,1
Romance,0nXQJBEDzMLVaMOvtXGYSX,56,0.665,0.295,7,-10.911,0.0516,0.779,0.0,0.163,0.401,75.056,4
Romance,5kGPbkC5dcUFazivhaeGuL,1,0.665,0.754,7,-4.966,0.0401,0.643,0.0,0.10300000000000001,0.345,132.0,4
Romance,7pybYes0otz2eFjVuZcfKv,33,0.198,0.0874,2,-22.209,0.040999999999999995,0.99,0.846,0.0822,0.0399,79.432,4
Romance,37dkyQQNJLaqk09kkNr7In,44,0.563,0.444,6,-6.178999999999999,0.0448,0.512,0.0,0.106,0.252,135.85,4
