"","songid","category.x","popularity.x","danceability.x","energy.x","key.x","loudness.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","X","song_title","artist_name","popularity.y","danceability.y","energy.y","key.y","loudness.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","category.y"
"2424","6gxZLe2tUdy1U51aql0mfR","Pop",3,"danceability",0.794,4,-4.87,0.0831,0.0642,2.3e-05,0.178,0.284,189.184,3469,"You Go Down Smooth","Lake Street Dive",3,0.31,0.794,4,-4.87,0.0831,0.0642,2.3e-05,0.178,0.284,189.184,"Pop"
"2425","6gZVQvQZOFpzIy3HblJ20F","Rock",71,"0.346",0.765,8,-8.558,0.0413,0.00229,8e-06,0.213,0.667,106.463,8131,"Man in the Box","Alice In Chains",71,0.346,0.765,8,-8.558,0.0413,0.00229,8e-06,0.213,0.667,106.463,"Rock"
"2426","6H0AwSQ20mo62jGlPGB8S6","Hip-Hop",87,"0.841",0.516,11,-7.461,0.118,0.0263,0.00072,0.111,0.548,145.995,5776,"Its A Vibe","2 Chainz",86,0.841,0.516,11,-7.461,0.118,0.0263,0.00072,0.111,0.548,145.995,"Hip-Hop"
"2427","6h0lrpGtRIwbBiPHthDB3o","Rock",49,"0.637",0.902,0,-5.064,0.0292,0.0391,4e-06,0.128,0.847,136.575,7446,"Dyslexic Heart","Paul Westerberg",49,0.637,0.902,0,-5.064,0.0292,0.0391,4e-06,0.128,0.847,136.575,"Rock"
"2428","6H0zRPEV1ezBHOidNXSt1D","Electronic/Dance",72,"0.41",0.711,4,-3.064,0.0432,0.373,0.00179,0.139,0.247,159.837,4360,"Fractures (feat. Nevve)","Illenium",71,0.41,0.711,4,-3.064,0.0432,0.373,0.00179,0.139,0.247,159.837,"Electronic/Dance"
"2429","6H2sN5EiVoBDVtj5upmKM4","Pop",17,"danceability",0.783,0,-4.149,0.0431,0.0031,0,0.143,0.557,99.197,3457,"Thats Still Mama","Cody Chesnutt",17,0.475,0.783,0,-4.149,0.0431,0.0031,0,0.143,0.557,99.197,"Pop"
"2430","6h8ATGUYLfhWMfiuCON9T3","Hip-Hop",52,"0.544",0.445,10,-12.492,0.234,0.164,9.6e-05,0.12,0.193,128.32,5484,"You Deserve Better","KR",53,0.544,0.445,10,-12.492,0.234,0.164,9.6e-05,0.12,0.193,128.32,"Hip-Hop"
"2431","6HeBSHtMusHrZaWWr50SI6","Rock",47,"0.441",0.697,4,-5.345,0.0435,0.01,1.3e-05,0.258,0.344,79.038,7675,"Knocking At The Door","Arkells",47,0.441,0.697,4,-5.345,0.0435,0.01,1.3e-05,0.258,0.344,79.038,"Rock"
"2432","6hF958knQGPtOFLR7zxNPZ","Hip-Hop",48,"0.74",0.48,4,-11.395,0.043,0.382,4e-06,0.303,0.447,130.038,5379,"Washuwant1","Aftertheparty",51,0.74,0.48,4,-11.395,0.043,0.382,4e-06,0.303,0.447,130.038,"Hip-Hop"
"2433","6hGysJfPg591z5fqvTYL8O","Pop",55,"danceability",0.857,6,-6.817,0.0315,0.0512,3e-06,0.334,0.505,107.092,3196,"You Got The Love","Various Artists",55,0.592,0.857,6,-6.817,0.0315,0.0512,3e-06,0.334,0.505,107.092,"Pop"
"2434","6HJujxcjMmVZhd8z5EpPri","Rock",65,"0.559",0.565,3,-8.534,0.0498,0.668,0.000315,0.272,0.343,108.241,7593,"Where Did You Sleep Last Night","Nirvana",65,0.559,0.565,3,-8.534,0.0498,0.668,0.000315,0.272,0.343,108.241,"Rock"
"2435","6HppFo04vRrMYe28BFRl3u","Hip-Hop",60,"0.777",0.523,10,-7.057,0.042,0.0134,0.0635,0.113,0.258,95.998,5209,"I Love My Squad","Iamsu!",59,0.777,0.523,10,-7.057,0.042,0.0134,0.0635,0.113,0.258,95.998,"Hip-Hop"
"2436","6ht5cDaJsrvWXCOd0vkIsX","Pop",45,"danceability",0.797,7,-3.544,0.109,0.0994,0,0.0797,0.785,89.968,3194,"Hope You Understand","Grace",45,0.591,0.797,7,-3.544,0.109,0.0994,0,0.0797,0.785,89.968,"Pop"
"2437","6hTcuIQa0sxrrByu9wTD7s","Rock",71,"0.27",0.944,4,-4.199,0.0975,0.00501,2.1e-05,0.116,0.618,146.347,8132,"Born to Run","Bruce Springsteen",71,0.27,0.944,4,-4.199,0.0975,0.00501,2.1e-05,0.116,0.618,146.347,"Rock"
"2438","6hVGw7yVUd2bpdHMPCWrtN","Hip-Hop",69,"0.406",0.661,8,-5.142,0.311,0.173,0,0.101,0.358,180.206,6068,"March Madness","Future",70,0.406,0.661,8,-5.142,0.311,0.173,0,0.101,0.358,180.206,"Hip-Hop"
"2439","6hvwc95jXLw5z2kT73y6I5","Rock",51,"0.626",0.659,2,-7.158,0.0237,0.000345,0.00106,0.35,0.473,94.197,7064,"#1 Crush","Garbage",51,0.626,0.659,2,-7.158,0.0237,0.000345,0.00106,0.35,0.473,94.197,"Rock"
"2440","6Hx7kdHB9kGdxnw2EwSx2V","Rock",67,"0.608",0.865,1,-3.961,0.0451,0.00602,0,0.127,0.546,100.026,8192,"Million Bucks","Smallpools",66,0.608,0.865,1,-3.961,0.0451,0.00602,0,0.127,0.546,100.026,"Rock"
"2441","6hXHOrhKW9dgQt35Mc5dCb","Rock",9,"0.307",0.379,11,-11.8,0.031,0.684,0.000577,0.113,0.176,173.728,7516,"Alone Again Or","Love",8,0.307,0.379,11,-11.8,0.031,0.684,0.000577,0.113,0.176,173.728,"Rock"
"2442","6HZ9VeI5IRFCNQLXhpF4bq","Pop",66,"danceability",0.906,8,-2.671,0.0284,0.00952,1.6e-05,0.153,0.818,125.916,3206,"I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version]","Icona Pop",66,0.711,0.906,8,-2.671,0.0284,0.00952,1.6e-05,0.153,0.818,125.916,"Pop"
"2443","6i09oKaV93wnEE5ighvD1E","Pop",66,"danceability",0.531,5,-7.928,0.189,0.337,0,0.0819,0.387,177.953,3310,"Surround Me","LÉON",66,0.539,0.531,5,-7.928,0.189,0.337,0,0.0819,0.387,177.953,"Pop"
"2444","6I1euZN8qsmXYJq2nDH8EN","Rock",33,"0.503",0.539,2,-15.502,0.0349,9.28e-05,0.833,0.265,0.633,121.501,7038,"Ordeal","Pale Saints",32,0.503,0.539,2,-15.502,0.0349,9.3e-05,0.833,0.265,0.633,121.501,"Rock"
"2445","6i2cO91UBRECRvsZhTSpEJ","Electronic/Dance",56,"0.639",0.833,11,-6.561,0.0318,0.00195,0.00449,0.0784,0.259,126.041,4991,"Fuck They - Benny Benassi & MazZz Remix Radio Edit","Sofi Tukker",58,0.639,0.833,11,-6.561,0.0318,0.00195,0.00449,0.0784,0.259,126.041,"Electronic/Dance"
"2446","6i4SkbWVHe0pEP9PrreQ7A","Hip-Hop",59,"0.877",0.572,11,-8.001,0.304,0.559,0,0.093,0.801,135.988,5143,"Flowers","Hare Squead",59,0.877,0.572,11,-8.001,0.304,0.559,0,0.093,0.801,135.988,"Hip-Hop"
"2447","6I5gEJ0E33DgbtBUFHgD6n","Rock",59,"0.49",0.946,2,-4.6,0.0547,4.8e-05,0.00807,0.0695,0.429,134.06,7298,"Careless Whisper","Seether",58,0.49,0.946,2,-4.6,0.0547,4.8e-05,0.00807,0.0695,0.429,134.06,"Rock"
"2448","6i6cWTCYBOKEdJnWjzm2yk","Hip-Hop",65,"0.61",0.856,11,-3.974,0.325,0.0879,0,0.289,0.675,91.77,5094,"Hood Gone Love It (feat. Kendrick Lamar)","Jay Rock",65,0.61,0.856,11,-3.974,0.325,0.0879,0,0.289,0.675,91.77,"Hip-Hop"
"2449","6i8ecOsx4J2Px1maiqzqoG","Rock",32,"0.69",0.54,4,-10.516,0.0317,0.218,0.00657,0.115,0.755,114.846,7952,"Everywhere","Fleetwood Mac",31,0.69,0.54,4,-10.516,0.0317,0.218,0.00657,0.115,0.755,114.846,"Rock"
"2450","6iax63A7BEFtIdD9ZVwTP2","Electronic/Dance",54,"danceability",0.932,0,-7.827,0.0356,0.000254,0.963,0.203,0.304,125.049,4387,"Shadows","Oliver Smith",52,0.562,0.932,0,-7.827,0.0356,0.000254,0.963,0.203,0.304,125.049,"Electronic/Dance"
"2451","6ibhgnbyJej15Wti5LWmay","Rock",5,"0.461",0.868,1,-8.007,0.0565,7e-06,0.164,0.142,0.431,139.975,7130,"Go","Pearl Jam",6,0.461,0.868,1,-8.007,0.0565,7e-06,0.164,0.142,0.431,139.975,"Rock"
"2452","6ifDwKH8OlIWPcXuWMyST2","Rock",44,"0.542",0.957,4,-2.794,0.0368,0.000902,1e-06,0.424,0.611,131.492,8155,"Volcano Girls","Veruca Salt",44,0.542,0.957,4,-2.794,0.0368,0.000902,1e-06,0.424,0.611,131.492,"Rock"
"2453","6ifRtNwL2q22l3QFzVIY08","Electronic/Dance",48,"0.794",0.914,11,-5.963,0.0511,0.0256,0.0622,0.0502,0.743,133.015,4458,"All About Paper","AC Slater",51,0.794,0.914,11,-5.963,0.0511,0.0256,0.0622,0.0502,0.743,133.015,"Electronic/Dance"
"2454","6imdB3xGokb5QIJZephOwg","Electronic/Dance",49,"0.445",0.794,4,-4.095,0.041,0.048,0.00149,0.356,0.331,128.026,4987,"Something Something Champs - Radio Edit","Kaskade",50,0.445,0.794,4,-4.095,0.041,0.048,0.00149,0.356,0.331,128.026,"Electronic/Dance"
"2455","6INMvf1dChUe5tH4WMjc44","Rock",45,"0.638",0.811,8,-5.43,0.117,0.0311,0,0.144,0.91,101.154,7911,"Jump Jive An Wail","The Brian Setzer Orchestra",44,0.638,0.811,8,-5.43,0.117,0.0311,0,0.144,0.91,101.154,"Rock"
"2456","6iOeQNXb0fFP3TDCzVPts8","Electronic/Dance",46,"0.835",0.561,6,-5.502,0.0902,0.399,5e-06,0.0563,0.656,115.48,4896,"Dye My Hair","ALMA",46,0.835,0.561,6,-5.502,0.0902,0.399,5e-06,0.0563,0.656,115.48,"Electronic/Dance"
"2457","6iPEG56dIDLTEXuy0hoRgc","Hip-Hop",47,"0.57",0.75,4,-3.67,0.0744,0.00251,4e-06,0.187,0.224,112.65,5134,"HUNNIT","Penomeco",47,0.57,0.75,4,-3.67,0.0744,0.00251,4e-06,0.187,0.224,112.65,"Hip-Hop"
"2458","6IQdIQ0jzbUGGrAFUnq4RQ","Rock",35,"0.444",0.347,2,-10.698,0.0357,0.0202,0.912,0.0921,0.0874,119.866,8074,"Dragon In You","Malory",34,0.444,0.347,2,-10.698,0.0357,0.0202,0.912,0.0921,0.0874,119.866,"Rock"
"2459","6ird9di2OtZzXIRoUcmoah","Electronic/Dance",14,"0.811",0.51,9,-6.474,0.0424,0.0197,0.072,0.054,0.647,125.035,4423,"Dizzy","Dimmi",14,0.811,0.51,9,-6.474,0.0424,0.0197,0.072,0.054,0.647,125.035,"Electronic/Dance"
"2460","6IUFuke9UsBg2FDoGLVZqc","Hip-Hop",56,"0.743",0.586,0,-3.701,0.0558,0.238,0,0.196,0.641,92.961,6093,"Gettin by","ONE",56,0.743,0.586,0,-3.701,0.0558,0.238,0,0.196,0.641,92.961,"Hip-Hop"
"2461","6iXxw41daSAuyuQgGVkBtQ","Hip-Hop",58,"0.775",0.545,8,-5.403,0.13,0.0995,0,0.168,0.453,135.907,5954,"Street Walker","Take a Daytrip",57,0.775,0.545,8,-5.403,0.13,0.0995,0,0.168,0.453,135.907,"Hip-Hop"
"2462","6JAXWoK53LV3hYARf4TzzP","Pop",69,"danceability",0.208,7,-10.567,0.036,0.943,0,0.0931,0.104,83.155,3204,"Symphony - Acoustic","Thomas Daniel",69,0.359,0.208,7,-10.567,0.036,0.943,0,0.0931,0.104,83.155,"Pop"
"2463","6jhm26E6XN4lUZkNBrKCqd","Electronic/Dance",51,"0.624",0.795,10,-10.474,0.036,0.863,0.924,0.106,0.135,124,4163,"Simplicity Is Bliss","RÜFÜS",54,0.624,0.795,10,-10.474,0.036,0.863,0.924,0.106,0.135,124,"Electronic/Dance"
"2464","6JI5wNWYdBw68GZjOMmgK5","Hip-Hop",63,"0.711",0.62,11,-10.174,0.212,0.0175,0,0.134,0.814,179.817,5518,"Put It On","Big L",63,0.711,0.62,11,-10.174,0.212,0.0175,0,0.134,0.814,179.817,"Hip-Hop"
"2465","6jIFjFLu7OtUJeo6B92r4D","Pop",40,"danceability",0.649,9,-6.476,0.068,0.169,0.0289,0.058,0.755,111.989,3751,"Marry","DJ Neptune",40,0.891,0.649,9,-6.476,0.068,0.169,0.0289,0.058,0.755,111.989,"Pop"
"2466","6jKDgvE2pnYWRnj7xZV8zc","Electronic/Dance",60,"0.751",0.644,8,-9.235,0.124,0.0713,0.0807,0.0801,0.239,139.985,4266,"Exhale","ZHU",61,0.751,0.644,8,-9.235,0.124,0.0713,0.0807,0.0801,0.239,139.985,"Electronic/Dance"
"2467","6JKSgnPypPIs08k1SGOhXD","Electronic/Dance",53,"danceability",0.696,0,-7.736,0.0468,0.195,0.0253,0.365,0.462,123.002,4269,"Ragga - Radio Edit","Bolier",52,0.807,0.696,0,-7.736,0.0468,0.195,0.0253,0.365,0.462,123.002,"Electronic/Dance"
"2468","6jlAVoiJJCXuNkRRph3HJT","Electronic/Dance",46,"0.605",0.642,3,-7.002,0.0411,0.00388,0.598,0.102,0.157,125.967,4156,"Chords Of Life - Original Mix","Various Artists",48,0.605,0.642,3,-7.002,0.0411,0.00388,0.598,0.102,0.157,125.967,"Electronic/Dance"
